Temperatures,410->211/402->201
1.151874856474098680e-01,0.000000000000000000e+00
1.152750805770075271e-01,0.000000000000000000e+00
1.153627421186303736e-01,0.000000000000000000e+00
1.154504703229338181e-01,0.000000000000000000e+00
1.155382652406118926e-01,0.000000000000000000e+00
1.156261269223970711e-01,0.000000000000000000e+00
1.157140554190605325e-01,0.000000000000000000e+00
1.158020507814119665e-01,0.000000000000000000e+00
1.158901130602997265e-01,0.000000000000000000e+00
1.159782423066109125e-01,0.000000000000000000e+00
1.160664385712711633e-01,0.000000000000000000e+00
1.161547019052449892e-01,0.000000000000000000e+00
1.162430323595356196e-01,0.000000000000000000e+00
1.163314299851850031e-01,0.000000000000000000e+00
1.164198948332740013e-01,0.000000000000000000e+00
1.165084269549222090e-01,0.000000000000000000e+00
1.165970264012882313e-01,0.000000000000000000e+00
1.166856932235694477e-01,0.000000000000000000e+00
1.167744274730022347e-01,0.000000000000000000e+00
1.168632292008619789e-01,0.000000000000000000e+00
1.169520984584629247e-01,0.000000000000000000e+00
1.170410352971584939e-01,0.000000000000000000e+00
1.171300397683410210e-01,0.000000000000000000e+00
1.172191119234420181e-01,0.000000000000000000e+00
1.173082518139321045e-01,0.000000000000000000e+00
1.173974594913209518e-01,0.000000000000000000e+00
1.174867350071575195e-01,0.000000000000000000e+00
1.175760784130298747e-01,4.006812440334438286e+00
1.176654897605653588e-01,3.973138152679121404e+00
1.177549691014306010e-01,3.969849439765088750e+00
1.178445164873314355e-01,3.968605659042237832e+00
1.179341319700131230e-01,3.967951848689707184e+00
1.180238156012601430e-01,3.967548715398232062e+00
1.181135674328964991e-01,3.967275284947666680e+00
1.182033875167855241e-01,3.967077637670629819e+00
1.182932759048299781e-01,3.966928103470270361e+00
1.183832326489721448e-01,3.966811021237246937e+00
1.184732578011937487e-01,3.966716861578903242e+00
1.185633514135160799e-01,3.966639493464169774e+00
1.186535135380000217e-01,3.966574793329536330e+00
1.187437442267459398e-01,3.966519885621912156e+00
1.188340435318939597e-01,3.966472703867195193e+00
1.189244115056237172e-01,3.966431724813753501e+00
1.190148482001546631e-01,3.966395800941318051e+00
1.191053536677458280e-01,3.966364051341120245e+00
1.191959279606960853e-01,3.966335788537107998e+00
1.192865711313440547e-01,3.966310468155932689e+00
1.193772832320681015e-01,3.966287653534279478e+00
1.194680643152864763e-01,3.966266990335213460e+00
1.195589144334573417e-01,3.966248188019901200e+00
1.196498336390785927e-01,3.966231006107717505e+00
1.197408219846882171e-01,3.966215243840641058e+00
1.198318795228640460e-01,3.966200732306891297e+00
1.199230063062239615e-01,3.966187328367185572e+00
1.200142023874257724e-01,3.966174909919986558e+00
1.201054678191674219e-01,3.966163372173551416e+00
1.201968026541869322e-01,3.966152624683573436e+00
1.202882069452623215e-01,3.966142588979050476e+00
1.203796807452118534e-01,3.966133196644478609e+00
1.204712241068939260e-01,3.966124387759215608e+00
1.205628370832070861e-01,3.966116109618753161e+00
1.206545197270901953e-01,3.966108315680219487e+00
1.207462720915222637e-01,3.966100964687536923e+00
1.208380942295226995e-01,3.966094019941526216e+00
1.209299861941511567e-01,3.966087448687676709e+00
1.210219480385076457e-01,3.966081221600035178e+00
1.211139798157326447e-01,3.966075312344069292e+00
1.212060815790068774e-01,3.966069697204738898e+00
1.212982533815516878e-01,3.966064354768715994e+00
1.213904952766287210e-01,3.966059265651768584e+00
1.214828073175402701e-01,3.966054412263989359e+00
1.215751895576291236e-01,3.966049778606893561e+00
1.216676420502785516e-01,3.966045350097428646e+00
1.217601648489125554e-01,3.966041113414836339e+00
1.218527580069956179e-01,3.966037056366978675e+00
1.219454215780329809e-01,3.966033167773298285e+00
1.220381556155705899e-01,3.966029437362036170e+00
1.221309601731949829e-01,3.966025855679750745e+00
1.222238353045336234e-01,3.966022414011415087e+00
1.223167810632545677e-01,3.966019104309709498e+00
1.224097975030668389e-01,3.966015919132286349e+00
1.225028846777202612e-01,3.966012851585967613e+00
1.225960426410054732e-01,3.966009815900139568e+00
1.226892714467540946e-01,3.966006708744936216e+00
1.227825711488386012e-01,3.966003519531587695e+00
1.228759418011725335e-01,3.966000237926829541e+00
1.229693834577103850e-01,3.965996853511295939e+00
1.230628961724476306e-01,3.965993355626034944e+00
1.231564799994209064e-01,3.965989733229120962e+00
1.232501349927078299e-01,3.965985974756696120e+00
1.233438612064272633e-01,3.965982067983631509e+00
1.234376586947390775e-01,3.965977999879497062e+00
1.235315275118444717e-01,3.965973756455777099e+00
1.236254677119858203e-01,3.965969322600197522e+00
1.237194793494466594e-01,3.965964681893842325e+00
1.238135624785519084e-01,3.965959816406263272e+00
1.239077171536678013e-01,3.965954706463134638e+00
1.240019434292018163e-01,3.965949330380074134e+00
1.240962413596029268e-01,3.965943664155022752e+00
1.241906109993613921e-01,3.965937681109994006e+00
1.242850524030090359e-01,3.965931351470874944e+00
1.243795656251190096e-01,3.965924641871369172e+00
1.244741507203060982e-01,3.965917514763557694e+00
1.245688077432265672e-01,3.965909927713108463e+00
1.246635367485781909e-01,3.965901832551147255e+00
1.247583377911004043e-01,3.965893174346883931e+00
1.248532109255743039e-01,3.965883890154644487e+00
1.249481562068225221e-01,3.965873907474714688e+00
1.250431736897095192e-01,3.965863142348302173e+00
1.251382634291413332e-01,3.965851496980448587e+00
1.252334254800659130e-01,3.965838856748180152e+00
1.253286598974728550e-01,3.965825086399676458e+00
1.254239667363936661e-01,3.965810025176834674e+00
1.255193460519016535e-01,3.965793480487518341e+00
1.256147978991120073e-01,3.965775219597809986e+00
1.257103223331818564e-01,3.965754958581369394e+00
1.258059194093102962e-01,3.965732347407576519e+00
1.259015891827383049e-01,3.965706949496851319e+00
1.259973317087489664e-01,3.965678213189952839e+00
1.260931470426673029e-01,3.965645431136624932e+00
1.261890352398605530e-01,3.965607681182361066e+00
1.262849963557379218e-01,3.965563738110929215e+00
1.263810304457508304e-01,3.965511937977937773e+00
1.264771375653928609e-01,3.965449962402757489e+00
1.265733177701997003e-01,3.965374481715858934e+00
1.266695711157494741e-01,3.965280536024539781e+00
1.267658976576623020e-01,3.965160398316576185e+00
1.268622974516008528e-01,3.965001331928481587e+00
1.269587705532699839e-01,3.964780745283098540e+00
1.270553170184169078e-01,3.964454374430272932e+00
1.271519369028313307e-01,3.963922095638440890e+00
1.272486302623452581e-01,3.962899195039933709e+00
1.273453971528332451e-01,3.960127281163184687e+00
1.274422376302123405e-01,3.924676456131800606e+00
1.275391517504420313e-01,0.000000000000000000e+00
1.276361395695244372e-01,0.000000000000000000e+00
1.277332011435042269e-01,0.000000000000000000e+00
1.278303365284686743e-01,0.000000000000000000e+00
1.279275457805478244e-01,0.000000000000000000e+00
1.280248289559142161e-01,0.000000000000000000e+00
1.281221861107832427e-01,0.000000000000000000e+00
1.282196173014129859e-01,0.000000000000000000e+00
1.283171225841043261e-01,0.000000000000000000e+00
1.284147020152010266e-01,0.000000000000000000e+00
1.285123556510895659e-01,0.000000000000000000e+00
1.286100835481994165e-01,0.000000000000000000e+00
1.287078857630028217e-01,0.000000000000000000e+00
1.288057623520151851e-01,0.000000000000000000e+00
1.289037133717946815e-01,0.000000000000000000e+00
1.290017388789425901e-01,0.000000000000000000e+00
1.290998389301032667e-01,0.000000000000000000e+00
1.291980135819640330e-01,0.000000000000000000e+00
1.292962628912554257e-01,0.000000000000000000e+00
1.293945869147511141e-01,0.000000000000000000e+00
1.294929857092678438e-01,0.000000000000000000e+00
1.295914593316656593e-01,0.000000000000000000e+00
1.296900078388478206e-01,0.000000000000000000e+00
1.297886312877608583e-01,0.000000000000000000e+00
1.298873297353945466e-01,0.000000000000000000e+00
1.299861032387821247e-01,0.000000000000000000e+00
1.300849518550001582e-01,0.000000000000000000e+00
1.301838756411685116e-01,0.000000000000000000e+00
1.302828746544505978e-01,0.000000000000000000e+00
1.303819489520533226e-01,0.000000000000000000e+00
1.304810985912270016e-01,0.000000000000000000e+00
1.305803236292655267e-01,0.000000000000000000e+00
1.306796241235063660e-01,0.000000000000000000e+00
1.307790001313306194e-01,0.000000000000000000e+00
1.308784517101629075e-01,0.000000000000000000e+00
1.309779789174716491e-01,0.000000000000000000e+00
1.310775818107689505e-01,0.000000000000000000e+00
1.311772604476105775e-01,0.000000000000000000e+00
1.312770148855961494e-01,0.000000000000000000e+00
1.313768451823689454e-01,0.000000000000000000e+00
1.314767513956162648e-01,0.000000000000000000e+00
1.315767335830692331e-01,0.000000000000000000e+00
1.316767918025027184e-01,0.000000000000000000e+00
1.317769261117357205e-01,0.000000000000000000e+00
1.318771365686310648e-01,0.000000000000000000e+00
1.319774232310957085e-01,0.000000000000000000e+00
1.320777861570805733e-01,0.000000000000000000e+00
1.321782254045805738e-01,0.000000000000000000e+00
1.322787410316349221e-01,0.000000000000000000e+00
1.323793330963267678e-01,0.000000000000000000e+00
1.324800016567835304e-01,0.000000000000000000e+00
1.325807467711768717e-01,0.000000000000000000e+00
1.326815684977225296e-01,0.000000000000000000e+00
1.327824668946807340e-01,0.000000000000000000e+00
1.328834420203558186e-01,0.000000000000000000e+00
1.329844939330965814e-01,0.000000000000000000e+00
1.330856226912961460e-01,0.000000000000000000e+00
1.331868283533920450e-01,0.000000000000000000e+00
1.332881109778662476e-01,0.000000000000000000e+00
1.333894706232451877e-01,0.000000000000000000e+00
1.334909073480998465e-01,0.000000000000000000e+00
1.335924212110456699e-01,0.000000000000000000e+00
1.336940122707427625e-01,0.000000000000000000e+00
1.337956805858958320e-01,0.000000000000000000e+00
1.338974262152541062e-01,0.000000000000000000e+00
1.339992492176116379e-01,0.000000000000000000e+00
1.341011496518071389e-01,0.000000000000000000e+00
1.342031275767240350e-01,0.000000000000000000e+00
1.343051830512905775e-01,0.000000000000000000e+00
1.344073161344797596e-01,0.000000000000000000e+00
1.345095268853095383e-01,0.000000000000000000e+00
1.346118153628425851e-01,0.000000000000000000e+00
1.347141816261866465e-01,0.000000000000000000e+00
1.348166257344943497e-01,0.000000000000000000e+00
1.349191477469632860e-01,0.000000000000000000e+00
1.350217477228360663e-01,0.000000000000000000e+00
1.351244257214004596e-01,0.000000000000000000e+00
1.352271818019891159e-01,0.000000000000000000e+00
1.353300160239800376e-01,0.000000000000000000e+00
1.354329284467961636e-01,0.000000000000000000e+00
