R1  
Electric field / N (Td)                    1.976    
Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        300.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Longitudinal diffusion                     1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Maximum energy                             10.11    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction He                           1.000    
Energy (eV) EEDF (eV-3/2) Anisotropy
   6.435    	  0.1263E-01	  0.6234E-01
   6.667    	  0.1062E-01	  0.6375E-01
   6.901    	  0.8901E-02	  0.6505E-01
   7.138    	  0.7441E-02	  0.6639E-01
   7.377    	  0.6197E-02	  0.6781E-01
   7.620    	  0.5144E-02	  0.6911E-01
   7.864    	  0.4260E-02	  0.7021E-01
   8.111    	  0.3523E-02	  0.7132E-01
   8.361    	  0.2906E-02	  0.7249E-01
   8.614    	  0.2392E-02	  0.7361E-01
   8.868    	  0.1965E-02	  0.7463E-01
   9.126    	  0.1613E-02	  0.7561E-01
   9.386    	  0.1321E-02	  0.7659E-01
   9.648    	  0.1081E-02	  0.7745E-01
   9.913    	  0.8849E-03	  0.7817E-01
   10.18    	  0.7241E-03	  0.7893E-01
   10.45    	  0.5920E-03	  0.7978E-01
   10.72    	  0.4837E-03	  0.8058E-01
   11.00    	  0.3951E-03	  0.8131E-01
   11.28    	  0.3227E-03	  0.8197E-01
   11.56    	  0.2637E-03	  0.8256E-01
   11.84    	  0.2156E-03	  0.8309E-01
   12.13    	  0.1765E-03	  0.8373E-01
   12.41    	  0.1443E-03	  0.8462E-01
   12.71    	  0.1179E-03	  0.8550E-01
   13.00    	  0.9624E-04	  0.8638E-01
   13.29    	  0.7852E-04	  0.8724E-01
   13.59    	  0.6404E-04	  0.8811E-01
   13.89    	  0.5220E-04	  0.8899E-01
   14.20    	  0.4254E-04	  0.8989E-01
   14.50    	  0.3466E-04	  0.9083E-01
   14.81    	  0.2823E-04	  0.9183E-01
   15.12    	  0.2299E-04	  0.9294E-01
   15.44    	  0.1871E-04	  0.9421E-01
   15.75    	  0.1521E-04	  0.9564E-01
   16.07    	  0.1236E-04	  0.9730E-01
   16.39    	  0.1002E-04	  0.9928E-01
   16.72    	  0.8105E-05	  0.1016    
   17.04    	  0.6537E-05	  0.1045    
   17.37    	  0.5253E-05	  0.1079    
   17.70    	  0.4199E-05	  0.1122    
   18.04    	  0.3335E-05	  0.1176    
   18.37    	  0.2624E-05	  0.1246    
   18.71    	  0.2040E-05	  0.1340    
   19.06    	  0.1559E-05	  0.1469    
   19.40    	  0.1161E-05	  0.1656    
   19.75    	  0.8314E-06	  0.1937    
   20.10    	  0.5599E-06	  0.2263    
   20.45    	  0.3627E-06	  0.2483    
   20.80    	  0.2288E-06	  0.2648    
   21.16    	  0.1414E-06	  0.2784    
   21.52    	  0.8626E-07	  0.2905    
   21.88    	  0.5177E-07	  0.3047    
   22.25    	  0.3055E-07	  0.3195    
   22.61    	  0.1773E-07	  0.3346    
   22.98    	  0.1013E-07	  0.3508    
   23.36    	  0.5663E-08	  0.3698    
   23.73    	  0.3091E-08	  0.3899    
   24.11    	  0.1647E-08	  0.4111    
   24.49    	  0.8567E-09	  0.4335    
   24.87    	  0.4340E-09	  0.4581    
   25.26    	  0.2145E-09	  0.4807    
   25.64    	  0.1040E-09	  0.4976    
   26.03    	  0.5016E-10	  0.4988    
   26.43    	  0.2518E-10	  0.3172    


R5  
Electric field / N (Td)                    5.390    
Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        300.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Longitudinal diffusion                     1.000    
