Temperatures,310->211/300->201
1.117904850392135996e-01,0.000000000000000000e+00
1.118935056184740401e-01,0.000000000000000000e+00
1.119966211364025327e-01,0.000000000000000000e+00
1.120998316804898559e-01,0.000000000000000000e+00
1.122031373383074182e-01,0.000000000000000000e+00
1.123065381975073412e-01,0.000000000000000000e+00
1.124100343458224877e-01,0.000000000000000000e+00
1.125136258710665998e-01,0.000000000000000000e+00
1.126173128611343416e-01,0.000000000000000000e+00
1.127210954040013674e-01,0.000000000000000000e+00
1.128249735877244059e-01,0.000000000000000000e+00
1.129289475004413290e-01,0.000000000000000000e+00
1.130330172303712633e-01,0.000000000000000000e+00
1.131371828658145895e-01,0.000000000000000000e+00
1.132414444951530819e-01,0.000000000000000000e+00
1.133458022068499771e-01,0.000000000000000000e+00
1.134502560894500300e-01,0.000000000000000000e+00
1.135548062315795692e-01,0.000000000000000000e+00
1.136594527219466078e-01,0.000000000000000000e+00
1.137641956493409406e-01,0.000000000000000000e+00
1.138690351026341308e-01,0.000000000000000000e+00
1.139739711707796893e-01,0.000000000000000000e+00
1.140790039428130759e-01,0.000000000000000000e+00
1.141841335078518094e-01,0.000000000000000000e+00
1.142893599550955375e-01,0.000000000000000000e+00
1.143946833738261060e-01,0.000000000000000000e+00
1.145001038534076282e-01,0.000000000000000000e+00
1.146056214832865960e-01,0.000000000000000000e+00
1.147112363529919077e-01,0.000000000000000000e+00
1.148169485521349648e-01,0.000000000000000000e+00
1.149227581704097834e-01,0.000000000000000000e+00
1.150286652975930080e-01,0.000000000000000000e+00
1.151346700235440224e-01,0.000000000000000000e+00
1.152407724382050191e-01,0.000000000000000000e+00
1.153469726316010691e-01,0.000000000000000000e+00
1.154532706938402459e-01,0.000000000000000000e+00
1.155596667151135987e-01,0.000000000000000000e+00
1.156661607856953461e-01,0.000000000000000000e+00
1.157727529959428625e-01,0.000000000000000000e+00
1.158794434362968306e-01,0.000000000000000000e+00
1.159862321972812416e-01,0.000000000000000000e+00
1.160931193695035196e-01,0.000000000000000000e+00
1.162001050436546057e-01,0.000000000000000000e+00
1.163071893105089849e-01,0.000000000000000000e+00
1.164143722609248394e-01,0.000000000000000000e+00
1.165216539858440203e-01,0.000000000000000000e+00
1.166290345762922565e-01,0.000000000000000000e+00
1.167365141233791120e-01,0.000000000000000000e+00
1.168440927182981398e-01,0.000000000000000000e+00
1.169517704523268947e-01,0.000000000000000000e+00
1.170595474168271005e-01,0.000000000000000000e+00
1.171674237032446358e-01,0.000000000000000000e+00
1.172753994031096730e-01,0.000000000000000000e+00
1.173834746080367197e-01,0.000000000000000000e+00
1.174916494097247160e-01,0.000000000000000000e+00
1.175999238999571178e-01,1.420674011459516217e+00
1.177082981706019382e-01,1.471418085716817314e+00
1.178167723136118866e-01,1.480505454132914345e+00
1.179253464210243824e-01,1.484303738163569086e+00
1.180340205849616797e-01,1.486389624081579042e+00
1.181427948976309095e-01,1.487708092654689951e+00
1.182516694513242039e-01,1.488616842771338211e+00
1.183606443384187107e-01,1.489281166404664791e+00
1.184697196513767314e-01,1.489787983721576392e+00
1.185788954827457636e-01,1.490187369843989362e+00
1.186881719251586670e-01,1.490510207198131098e+00
1.187975490713334831e-01,1.490776576644709639e+00
1.189070270140739488e-01,1.491000100236563597e+00
1.190166058462690662e-01,1.491190344711512905e+00
1.191262856608936715e-01,1.491354226048047904e+00
1.192360665510080742e-01,1.491496868078377558e+00
1.193459486097585565e-01,1.491622147668498322e+00
1.194559319303770129e-01,1.491733052296455142e+00
1.195660166061814633e-01,1.491831921258560012e+00
1.196762027305757481e-01,1.491920612415032155e+00
1.197864903970499439e-01,1.492000619979886533e+00
1.198968796991801700e-01,1.492073159341512634e+00
1.200073707306288234e-01,1.492139229200198036e+00
1.201179635851446076e-01,1.492199657797594892e+00
1.202286583565626288e-01,1.492255137795164499e+00
1.203394551388044520e-01,1.492306252925351684e+00
1.204503540258782118e-01,1.492353498593977923e+00
1.205613551118786542e-01,1.492397297977114068e+00
1.206724584909872749e-01,1.492438014721534589e+00
1.207836642574723340e-01,1.492475963056431265e+00
1.208949725056889662e-01,1.492511415911753625e+00
1.210063833300792646e-01,1.492544611487069295e+00
1.211178968251723637e-01,1.492575758605310776e+00
1.212295130855844810e-01,1.492605041105814045e+00
1.213412322060190701e-01,1.492632621471927878e+00
1.214530542812668340e-01,1.492658643844401611e+00
1.215649794062058225e-01,1.492683236538542957e+00
1.216770076758015573e-01,1.492706514157946751e+00
1.217891391851070176e-01,1.492728579378262088e+00
1.219013740292628351e-01,1.492749524459554777e+00
1.220137123034972793e-01,1.492769432534275298e+00
1.221261541031264108e-01,1.492788378708711283e+00
1.222386995235540952e-01,1.492806431008712575e+00
1.223513486602721273e-01,1.492823651194773671e+00
1.224641016088603290e-01,1.492840095467057093e+00
1.225769584649865768e-01,1.492856027240618833e+00
1.226899193244068986e-01,1.492872322966244614e+00
1.228029842829655993e-01,1.492889142510040346e+00
1.229161534365953018e-01,1.492906565792552653e+00
1.230294268813170028e-01,1.492924673869257202e+00
1.231428047132402392e-01,1.492943550634115102e+00
1.232562870285630607e-01,1.492963284418649339e+00
1.233698739235722375e-01,1.492983969573351333e+00
1.234835654946431910e-01,1.493005708105476836e+00
1.235973618382402300e-01,1.493028611441989506e+00
1.237112630509165090e-01,1.493052802387157652e+00
1.238252692293142082e-01,1.493078417350237386e+00
1.239393804701645202e-01,1.493105608930016537e+00
1.240535968702878022e-01,1.493134548960202146e+00
1.241679185265936597e-01,1.493165432144240024e+00
1.242823455360809598e-01,1.493198480442047726e+00
1.243968779958379844e-01,1.493233948417670209e+00
1.245115160030424856e-01,1.493272129820604643e+00
1.246262596549617824e-01,1.493313365761355094e+00
1.247411090489527891e-01,1.493358054963857207e+00
1.248560642824621952e-01,1.493406666748966050e+00
1.249711254530264382e-01,1.493459757647210173e+00
1.250862926582718970e-01,1.493517992891122637e+00
1.252015659959148375e-01,1.493582174553299335e+00
1.253169455637616614e-01,1.493653278865108236e+00
1.254324314597088930e-01,1.493732506418198991e+00
1.255480237817431788e-01,1.493821350760155431e+00
1.256637226279415931e-01,1.493921693764416858e+00
1.257795280964715268e-01,1.494035940820500397e+00
1.258954402855907984e-01,1.494167216698023770e+00
1.260114592936478761e-01,1.494319656427050891e+00
1.261275852190817948e-01,1.494498849706270782e+00
1.262438181604222942e-01,1.494712542500484798e+00
1.263601582162899584e-01,1.494971788018122139e+00
1.264766054853962152e-01,1.495292923010473229e+00
1.265931600665435308e-01,1.495701153554405582e+00
1.267098220586252988e-01,1.496237519695999163e+00
1.268265915606262006e-01,1.496973645538013598e+00
1.269434686716219840e-01,1.498046753069894876e+00
1.270604534907798233e-01,1.499757062710266764e+00
1.271775461173582089e-01,1.502912045056657320e+00
1.272947466507070857e-01,1.510681176832888495e+00
1.274120551902681309e-01,1.560738101369216313e+00
1.275294718355743373e-01,0.000000000000000000e+00
1.276469966862507910e-01,0.000000000000000000e+00
1.277646298420140603e-01,0.000000000000000000e+00
1.278823714026728620e-01,0.000000000000000000e+00
1.280002214681277006e-01,0.000000000000000000e+00
1.281181801383713126e-01,0.000000000000000000e+00
1.282362475134883606e-01,0.000000000000000000e+00
1.283544236936560168e-01,0.000000000000000000e+00
1.284727087791435740e-01,0.000000000000000000e+00
1.285911028703128067e-01,0.000000000000000000e+00
1.287096060676179432e-01,0.000000000000000000e+00
1.288282184716057766e-01,0.000000000000000000e+00
1.289469401829158035e-01,0.000000000000000000e+00
1.290657713022802522e-01,0.000000000000000000e+00
1.291847119305241653e-01,0.000000000000000000e+00
1.293037621685655114e-01,0.000000000000000000e+00
1.294229221174152400e-01,0.000000000000000000e+00
1.295421918781773929e-01,0.000000000000000000e+00
1.296615715520492429e-01,0.000000000000000000e+00
1.297810612403212105e-01,0.000000000000000000e+00
1.299006610443771970e-01,0.000000000000000000e+00
1.300203710656943901e-01,0.000000000000000000e+00
1.301401914058435971e-01,0.000000000000000000e+00
1.302601221664892173e-01,0.000000000000000000e+00
1.303801634493892692e-01,0.000000000000000000e+00
1.305003153563956131e-01,0.000000000000000000e+00
1.306205779894539509e-01,0.000000000000000000e+00
1.307409514506039372e-01,0.000000000000000000e+00
1.308614358419792623e-01,0.000000000000000000e+00
1.309820312658077079e-01,0.000000000000000000e+00
1.311027378244113140e-01,0.000000000000000000e+00
1.312235556202063780e-01,0.000000000000000000e+00
1.313444847557036221e-01,0.000000000000000000e+00
1.314655253335081375e-01,0.000000000000000000e+00
1.315866774563197172e-01,0.000000000000000000e+00
1.317079412269326621e-01,0.000000000000000000e+00
1.318293167482360861e-01,0.000000000000000000e+00
1.319508041232138884e-01,0.000000000000000000e+00
1.320724034549448922e-01,0.000000000000000000e+00
1.321941148466029003e-01,0.000000000000000000e+00
1.323159384014567785e-01,0.000000000000000000e+00
1.324378742228706218e-01,0.000000000000000000e+00
1.325599224143036714e-01,0.000000000000000000e+00
1.326820830793106198e-01,0.000000000000000000e+00
1.328043563215415279e-01,0.000000000000000000e+00
1.329267422447420188e-01,0.000000000000000000e+00
1.330492409527532782e-01,0.000000000000000000e+00
1.331718525495121930e-01,0.000000000000000000e+00
1.332945771390514900e-01,0.000000000000000000e+00
