Temperatures,+-,Metastables,+-
9.852279812698652677e+04,5.309930551847054157e+05,-4.238379928552620000e+14,1.049793946264746000e+15
5.218254230828219443e+04,1.475125731726360391e+05,-5.851135865612768750e+14,4.074512537202837500e+14
3.493800005468944164e+03,5.220707244082641409e+03,-2.545094045360673750e+14,1.435791957346743125e+14
2.720120162184370656e+03,3.412543337216315194e+03,-2.740835939419481875e+14,1.333068055260641875e+14
2.721552603827323765e+03,3.997351322746661936e+03,-2.405362403930749688e+14,1.367962419645755156e+14
2.884942834214798950e+03,5.381884651846592533e+03,-1.940132010017058125e+14,1.393078446976852500e+14
9.919472256609124372e+01,2.384429516804750051e+02,-5.887561153017054688e+13,5.403966887717666406e+13
6.688831928208441013e+02,8.353461338220398829e+03,1.763492045731303125e+13,9.070613707734739062e+13
7.760453250627118678e+02,1.897169563255970616e+03,9.598948226714589062e+13,9.708909837149717188e+13
9.808562783550663653e+02,2.302131358053843542e+03,1.080894613581993125e+14,1.052889920451332656e+14
3.114013989921526449e+00,2.339002629364571817e+01,2.527033077237067969e+13,3.180210658270289062e+13
4.215965524021090260e+00,2.474913364584257636e+01,2.792577518287930078e+13,3.338673641979574219e+13
1.417698472045690778e+03,5.632822774038012540e+03,-6.174642837099321094e+13,1.013981523983141250e+14
1.202904306159789030e+03,1.951846513537893088e+03,-1.376053678958978438e+14,9.241442635978653125e+13
1.251735850113900824e+03,1.472665062359116064e+03,-1.841606953846572812e+14,8.971233970347164062e+13
2.142213239910440734e+03,2.476340951169048822e+03,-2.506921297415524688e+14,1.155642445122797188e+14
8.305870119613146016e+03,2.221662155513467587e+04,-3.969153861986449375e+14,4.142547926450958750e+14
3.155577940278867391e+04,2.246766331817207683e+05,-6.861542922641410000e+14,2.113513435594113500e+15
2.221163337189616129e+02,2.572007680690425104e+02,-1.506907568217275938e+14,6.939286043661743750e+13
1.054253794193249547e+02,1.207996548253291991e+02,-1.138777931267087812e+14,4.995796946300946875e+13
9.248625343780358321e+01,1.058646661110730918e+02,-9.881243978807535938e+13,4.296708679052073438e+13
6.510891065450557846e+01,8.361495935904471821e+01,-8.455718434652814062e+13,4.027699836289550781e+13
