Temperatures,+-,Metastables,+-
3.014161131253679855e+02,4.477635909719828788e+01,9.295530899975053750e+14,5.886478056781976562e+13
2.950702107948684443e+02,3.921400584437044046e+01,8.987098884650447500e+14,5.089026658158614844e+13
2.995434234359775587e+02,4.415545027841000802e+01,8.749416411421717500e+14,5.495183315815833594e+13
2.963092255294220081e+02,4.414366022061051353e+01,8.975299490462092500e+14,5.697421807319839844e+13
2.561891671094416552e+02,4.172956221776293972e+01,8.199285892732186250e+14,5.679885335369277344e+13
2.380426528524286880e+02,4.391578380236732926e+01,7.865161667073528750e+14,6.165151427306626562e+13
3.179689178197227193e+02,3.852248760415204742e+01,9.999939118403627500e+14,5.169547722740260938e+13
2.729045989709161404e+02,5.023321693565357293e+01,8.427520107075430000e+14,6.602188640321285156e+13
2.940358539377617717e+02,3.960127240308102614e+01,8.637410238159481250e+14,4.955100796738774219e+13
3.394404894387476475e+02,5.524475565332640059e+01,9.064572601871482500e+14,6.293100379298939062e+13
2.634418865478951375e+02,4.555743113903744046e+01,9.034718977703563750e+14,6.651358569994938281e+13
3.455398969744303486e+02,5.903774921378280283e+01,9.147426782405752500e+14,6.667385671107051562e+13
3.079901624772927562e+02,5.019390553813379086e+01,7.986259801696680000e+14,5.543316318081798438e+13
2.569017986944863310e+02,3.649711845806835697e+01,8.851020131542770000e+14,5.351279295194682812e+13
3.258816889813859916e+02,4.706788454928634025e+01,9.905079358262072500e+14,6.104971723525677344e+13
3.695786940992800851e+02,5.331927739596215332e+01,8.953172026234503750e+14,5.512592824292518750e+13
3.101322680835230585e+02,5.129845685482238338e+01,8.674444103899392500e+14,6.114543984894407812e+13
3.004290406778605984e+02,5.529769476162156394e+01,8.627750513506577500e+14,6.765377335005144531e+13
2.754217078086488186e+02,3.675405269517032281e+01,9.357534975032140000e+14,5.319455114771632812e+13
2.878984658981908069e+02,4.157734253712973782e+01,9.667514242762906250e+14,5.951069747424510938e+13
3.047868005915128720e+02,4.687037028834987495e+01,8.258326491038007500e+14,5.409265354960713281e+13
2.962600755687198557e+02,4.534064751239318269e+01,8.734235007225611250e+14,5.694446428671499219e+13
3.064848072464139932e+02,3.909660293957043109e+01,9.193560730617452500e+14,4.999356655695782031e+13
4.083725501043546160e+02,4.914030280676970364e+01,1.006448241651484250e+15,5.176256549861283594e+13
2.917614479970799835e+02,5.169232259649497507e+01,8.524517013949647500e+14,6.432231324479139062e+13
2.957973500222790335e+02,4.839760106434093245e+01,8.523814813030313750e+14,5.940416904383882031e+13
3.855023532645100772e+02,6.166118237686536219e+01,9.124752692613292500e+14,6.231270426326054688e+13
3.186521231748916421e+02,5.104349321867926648e+01,8.579633468286361250e+14,5.857019948617175000e+13
2.451299023798077883e+02,2.893152338346732577e+01,8.501695691062685000e+14,4.266874886613700000e+13
2.497438058614019099e+02,3.821950882991583143e+01,8.439070925046380000e+14,5.492090275164983594e+13
2.754820885723343054e+02,4.639127431844929816e+01,8.141771821272130000e+14,5.833759083367052344e+13
2.840997989263361205e+02,5.035759026734142196e+01,8.169183902082596250e+14,6.162852378928489062e+13
2.768329549413323889e+02,4.423674504009220954e+01,8.648214757824593750e+14,5.883609182625405469e+13
3.165163026264724522e+02,4.687539318387648990e+01,9.057948378974490000e+14,5.719206660089840625e+13
2.713836972179292957e+02,4.342725643103996447e+01,8.896403274619836250e+14,6.061735876614620312e+13
3.388601893812973458e+02,6.026796066191678136e+01,7.679037127614583750e+14,5.819311888377220312e+13
2.347826034422724888e+02,3.098649288034991400e+01,8.287415501199956250e+14,4.648368606247057812e+13
2.378445214804419834e+02,3.924881372500655630e+01,8.198057114649330000e+14,5.749195575217171094e+13
2.809855198088365000e+02,3.990602475298894802e+01,9.656150711764413750e+14,5.844377120561293750e+13
