Temperatures,+-,Metastables,+-
2.585784068811042289e+02,6.070997312408132984e+01,6.893094239756532500e+14,6.874294388440312500e+13
2.674703469724292404e+02,5.568583477849539776e+01,6.755580643842635000e+14,5.974330058431789844e+13
2.791312198881075233e+02,5.691752551985609188e+01,6.897415397211055000e+14,5.978112725466863281e+13
2.708301316707328397e+02,5.377494028359514289e+01,6.796074128953731250e+14,5.733427889111265625e+13
2.589149247339158819e+02,5.000822293403562924e+01,6.901470458456750000e+14,5.661932112438707031e+13
2.216428970687348965e+02,4.262091909708683346e+01,6.831653926845786250e+14,5.569962468300078125e+13
1.966812099300321961e+02,3.467647499852895265e+01,6.761675448653725000e+14,5.047990752349608594e+13
1.987204422398383770e+02,3.382336595707705840e+01,6.895403652676902500e+14,4.971269131494864844e+13
2.041526629152768635e+02,3.315984986803201906e+01,6.895333846414603750e+14,4.745681851755580469e+13
2.226011523523925462e+02,3.416018095059525450e+01,7.077616412243250000e+14,4.606507406251555469e+13
2.341123432346741708e+02,3.819433629283570752e+01,7.382127153238130000e+14,5.112107932928903906e+13
2.426092306882508751e+02,4.420067406839488910e+01,7.377603816865892500e+14,5.708001624278325781e+13
2.468854516578987841e+02,4.916509682456319297e+01,7.274969323551778750e+14,6.151908041145146875e+13
2.469010163201764385e+02,5.017521250450636927e+01,7.257680826890143750e+14,6.262801548466947656e+13
2.510390620418478704e+02,5.490563199560466501e+01,7.230052508259826250e+14,6.716809782765475781e+13
2.336483561705329066e+02,5.260981604339950479e+01,7.039293799024061250e+14,6.726400862438482031e+13
2.156709165521764930e+02,4.685987033830198101e+01,6.825984955259050000e+14,6.286796445189153125e+13
2.161451135958064640e+02,4.744339676180452159e+01,6.942875264179963750e+14,6.461288413654866406e+13
2.072744138872042186e+02,4.550448040390116944e+01,6.930850589344321250e+14,6.447858658181312500e+13
2.065062820858370856e+02,4.524759060945212497e+01,6.940197518745320000e+14,6.443598610661290625e+13
2.083790783578163825e+02,3.939683526779268163e+01,7.064927149350780000e+14,5.662136148526520312e+13
2.159886531789038031e+02,3.562953241783763758e+01,7.188559376217473750e+14,5.028615385768221094e+13
2.199097608306826430e+02,3.780797262919752200e+01,7.164604406384890000e+14,5.224924404847361719e+13
2.269840700146075392e+02,3.535206920767775784e+01,7.246386968862887500e+14,4.788394803256675000e+13
2.300724552092216868e+02,3.626951552110150345e+01,7.067431538581070000e+14,4.726953904265485156e+13
2.115266397003622671e+02,3.873145107790448094e+01,6.623689295942141250e+14,5.139460777629739062e+13
2.165935753685417922e+02,4.199635961253867578e+01,6.568630946083376250e+14,5.397723189571274219e+13
2.136721110086376143e+02,4.088727406546625076e+01,6.383342471897740000e+14,5.175434971488532031e+13
2.036700148163505446e+02,3.926743934090310972e+01,6.494119078458652500e+14,5.302846638668115625e+13
