Temperatures,+-,Metastables,+-
1.618240497784750914e+04,2.382641743598043468e+04,1.212763841301444250e+15,7.605806664612312500e+14
1.327996473527056514e+05,9.755560685576044489e+05,1.694329446085431000e+15,6.463852952854211000e+15
1.328236512164411834e+05,9.254197455960216466e+05,1.707464637889872250e+15,6.177928445147068000e+15
1.307671179026857280e+05,1.003095379969933187e+06,1.664269622598555500e+15,6.643640486658005000e+15
1.214617110572532692e+05,4.095314708076876123e+05,1.646204325470069250e+15,2.881132772867449000e+15
9.612128817390179029e+04,7.888742588968257769e+04,1.811490217923304000e+15,6.595067212941521250e+14
8.408516992968146224e+04,4.713872739177205949e+04,1.868862452025349000e+15,3.712808818804005000e+14
1.036172467943907541e+05,1.253125898633985344e+05,1.584561589852515250e+15,9.200560558698763750e+14
1.120769504819046851e+05,2.011886121671030123e+05,1.521039830534600500e+15,1.382019378717591000e+15
9.863631789532514813e+04,9.883137514879283844e+04,1.586337388998917750e+15,7.270921056508941250e+14
1.552848613206349546e+04,2.010676844586063453e+04,1.170772385430324250e+15,6.424322927228321250e+14
1.302749403208556942e+04,1.264272683379590489e+04,1.192172712703660250e+15,4.792190422381282500e+14
1.331208040276075735e+04,1.329213526032126174e+04,1.233323220015188000e+15,5.114652049194131875e+14
5.457712527121005405e+04,2.714314038655588956e+04,2.344457704027421000e+15,2.582539885225856875e+14
6.041452498580942483e+04,2.642231542130088201e+04,2.365456139410553000e+15,1.867342003338386562e+14
7.505230809229885926e+04,3.655279720786921098e+04,2.258316836135977500e+15,2.922535940032905000e+14
1.095787494983830984e+05,1.727187398610285600e+05,1.847975723751891250e+15,1.455092731849787500e+15
1.612551071921870462e+05,3.256004801738851238e+05,1.399641093000711500e+15,1.348706186209345250e+15
1.204274466012317680e+04,1.331095808008969107e+04,1.003532284415379875e+15,4.545250818341642500e+14
7.752371728568672552e+03,6.246547337907903056e+03,8.023506002890160000e+14,2.496972025882752500e+14
5.224762116468542445e+03,3.072821798719502567e+03,7.246672635823661250e+14,1.591847030657880312e+14
4.700743420681580574e+03,2.776652695796417447e+03,7.043228423602832500e+14,1.550414309927596562e+14
5.423999253358671922e+03,3.593648461113195935e+03,7.840614720342623750e+14,1.943232678710693438e+14
5.869613634239716703e+03,3.771762474919789383e+03,8.662392174710057500e+14,2.091982255290710938e+14
7.772213590778637808e+03,5.714713330919161308e+03,9.768926629984138750e+14,2.774862728653910000e+14
1.311742290807818972e+04,1.480290412361146991e+04,1.235847308049485000e+15,5.780889683240395000e+14
1.490774513816777835e+04,1.795958790484900601e+04,1.304309134746355500e+15,6.622928123552156250e+14
1.397358920249098992e+04,1.737085553199328569e+04,1.184157572044282500e+15,6.153634043214267500e+14
1.045954698325240679e+04,1.066941063057234715e+04,9.604610693407166250e+14,3.936819218801490000e+14
1.143857654252006068e+04,1.167576448251716647e+04,9.702176680225476250e+14,4.029803002659922500e+14
1.729613579177384599e+04,2.299293623041343744e+04,1.184590444731010000e+15,6.761530926559041250e+14
6.918113273823360214e+04,3.257163085170731938e+04,2.029917471237768500e+15,2.004750683425973125e+14
6.736009711912217608e+04,2.994105543871146438e+04,2.188505332780498000e+15,1.905608156250365312e+14
7.009962161291133089e+04,2.828181903024714120e+04,2.290948268193332500e+15,2.011072104245951562e+14
7.854332714885273890e+04,3.119535532398079158e+04,2.402766090536546000e+15,2.874843845772683750e+14
1.429623994821272499e+05,3.508248957001283416e+05,1.821196617450952750e+15,2.279001307540354000e+15
1.544858475269698283e+04,1.660621313501564509e+04,1.384376232760153500e+15,6.300747877897025000e+14
1.094831000819000110e+04,1.029637263181625167e+04,1.148123799161307500e+15,4.365944830375841875e+14
1.950778459570310952e+04,3.703641078453389491e+04,1.357399993935533000e+15,1.120902855872655625e+15
1.328141610746546066e+05,1.453531128607565071e+06,1.530953908538337750e+15,8.701056992302936000e+15
1.320396348439931462e+05,1.467900747950921766e+06,1.484634407542101250e+15,8.573977209309222000e+15
1.306071913589195319e+05,1.355692812210333766e+06,1.495589692380530750e+15,8.076609636164467000e+15
1.275040715211484930e+05,9.421586051001939923e+05,1.577988611787388500e+15,6.072528541629388000e+15
9.909904933570572757e+04,8.122050232442851120e+04,1.817228829514578000e+15,6.846834257819060000e+14
8.209875344753505487e+04,3.883387214851420867e+04,2.005572486262358250e+15,3.187429596206414375e+14
7.758282485687630833e+04,3.483161002217793430e+04,2.134325567274550750e+15,2.794170437075879062e+14
9.483339820472314022e+04,7.089840533268425497e+04,1.975849005317584000e+15,6.439706996862366250e+14
1.167593981469814753e+04,1.098450827911047236e+04,1.185296574922354750e+15,4.550400836518530000e+14
8.486209519632287993e+03,6.601904575353672044e+03,1.035417231012116750e+15,3.145925020470153750e+14
5.629566182890926939e+03,3.351478121963901685e+03,8.783662478167667500e+14,1.959696915803849375e+14
4.706791753570502806e+03,2.559475435121158625e+03,7.965108749407068750e+14,1.614010470278200312e+14
5.008922392812208273e+03,2.538307037774929540e+03,7.528274588638138750e+14,1.422621191144458438e+14
8.568540813851162966e+03,5.324052617153639403e+03,9.117789293131306250e+14,2.215732467003858125e+14
1.444423209604327894e+04,1.469255058400352391e+04,1.107831364591878500e+15,4.732300261347663750e+14
7.074723271908210882e+04,3.646107967796652520e+04,1.818762815178805750e+15,2.094977908377614375e+14
6.772287542719798512e+04,4.043864734187406430e+04,1.798474123063539500e+15,2.131486660227824375e+14
6.694584840127185453e+04,4.048221851064077782e+04,1.836837186641685500e+15,2.145706253766355000e+14
8.047295958232517296e+04,5.367875074739017145e+04,1.794438741216929500e+15,3.837997432953495000e+14
1.321979804156949685e+05,1.345411509744868847e+06,1.465632120822228500e+15,7.750748353354705000e+15
1.313618619577805221e+05,1.274145838984952541e+06,1.523535497944534000e+15,7.681874098246956000e+15
1.745571165440785990e+04,2.604415277901220543e+04,1.303708228328262250e+15,8.360906098142548750e+14
1.424921117669296291e+04,1.724191004522425283e+04,1.275258366133550000e+15,6.466067707307033750e+14
1.334468661350282491e+05,1.025737891276065377e+06,1.712635207068027500e+15,6.831720256966739000e+15
1.353112162077069479e+04,1.504755471261836101e+04,1.202360782324861750e+15,5.565204108673667500e+14
1.223745867842916232e+04,1.145830532739863520e+04,1.123809426445662250e+15,4.320820080712837500e+14
1.000249218481293974e+04,8.067361458627800857e+03,1.009766295871168000e+15,3.252293153315290625e+14
8.709468428435726310e+03,6.023910016538391574e+03,9.241583574220261250e+14,2.505405974071831562e+14
7.222019412763280343e+03,4.409633965686307420e+03,8.552133637586766250e+14,2.000096758487634062e+14
8.602434335825328162e+03,6.367259336869063191e+03,8.964802999949565000e+14,2.596540949415888438e+14
1.515871178215930013e+04,1.714118613400306640e+04,1.148479847373332250e+15,5.486673778418920000e+14
1.413579945825309260e+05,5.169753470054322388e+05,1.516057316547863000e+15,2.838151110848470500e+15
1.346191975422287360e+05,8.339401578256037319e+05,1.580662769684722250e+15,5.074331247469485000e+15
1.463274152650096512e+05,3.818779973820314044e+05,1.588968651172670000e+15,2.095508433154599750e+15
7.762673188931131153e+04,3.729242295995946915e+04,2.141241721651874750e+15,3.002994748438053750e+14
1.881939002333582903e+04,2.590996582951329037e+04,1.385650191445852250e+15,8.264634129186192500e+14
1.195985864140924969e+04,1.237097737329753909e+04,1.115395285786315125e+15,4.723136891072876250e+14
1.015259829236294354e+04,9.904556890328220106e+03,1.007329023759558375e+15,3.933450548222096250e+14
9.808425547409093269e+03,9.456664318719089351e+03,9.527669446658155000e+14,3.659358865828798125e+14
7.622109261228500145e+03,5.798583514577317146e+03,8.209094750692807500e+14,2.407280171544638750e+14
6.346782761984164608e+03,3.866900163322406570e+03,7.758077116620992500e+14,1.787429358745917500e+14
7.028245469038078227e+03,4.474877427751938740e+03,7.881823069678076250e+14,1.916733609437728125e+14
6.747089720814620705e+03,4.327026485083903026e+03,7.760868764451362500e+14,1.892949205696766875e+14
6.076174521889530297e+03,3.473697498974030623e+03,8.411713076633012500e+14,1.811689427987095625e+14
7.403344813216500370e+03,4.864887736820176542e+03,9.611694713239126250e+14,2.426096932116475312e+14
1.266280951543807714e+04,1.296416931589337946e+04,1.237039974824288250e+15,5.224620654762517500e+14
1.355479646820450434e+05,8.072216246697427705e+05,1.811320759969172500e+15,5.582771108030636000e+15
1.278812285887190083e+05,9.475930837819997687e+05,1.905404469538427750e+15,7.357842254799392000e+15
1.149841967205852561e+05,2.361828793638850038e+05,1.979482004822524750e+15,2.077809074606272750e+15
1.109671062503383291e+05,1.770227189330087858e+05,1.981574856416940750e+15,1.589104947609096000e+15
1.224184932697442564e+05,4.655563313808749081e+05,1.776854892126646500e+15,3.511085975595355500e+15
1.290951180348020280e+05,1.098193744721049676e+06,1.537903938494991500e+15,6.811446854595742000e+15
1.199042300991847515e+04,1.338779314284111933e+04,9.823049775691335000e+14,4.491243984074013125e+14
6.003842555844444178e+03,3.835717564767714521e+03,7.510056453718302500e+14,1.806143282194212500e+14
6.383505259716924229e+03,3.948512362836394004e+03,7.659615734640786250e+14,1.792529492211909375e+14
5.708576056974528001e+03,3.199248718591144097e+03,7.550445901261685000e+14,1.587128962268865000e+14
5.502743921116575621e+03,3.158828830157876837e+03,7.511270935202750000e+14,1.613634388071529062e+14
6.479941601781618374e+03,4.027164250128660115e+03,8.092736809717556250e+14,1.905417038880077188e+14
1.044059311812047054e+04,9.674019207812476452e+03,1.015007242486657125e+15,3.778010266221023750e+14
1.354595862299966102e+05,8.007936454724342329e+05,1.571215008502375750e+15,4.807857048645907000e+15
1.531238012268974853e+04,1.674899929263259401e+04,1.221277826191875750e+15,5.650034875335895000e+14
1.231218080786041355e+04,1.174606925972557110e+04,1.114440266314940500e+15,4.369547277762186250e+14
1.227759037914609871e+04,1.305863472992308016e+04,1.094863880676040750e+15,4.784541312466281875e+14
9.600985343287316937e+03,8.978880116689626448e+03,9.920836347741386250e+14,3.685323861516516250e+14
9.518754879342499407e+03,9.095521703560447349e+03,9.625357589656032500e+14,3.648535545157800000e+14
1.173815561730668196e+04,1.326839629682943996e+04,1.029274040010955625e+15,4.751800449057150000e+14
7.661655137294348970e+04,4.473333207036633394e+04,1.872389546670731000e+15,3.080893476268136875e+14
5.620210774817788479e+04,3.239099537023465018e+04,1.943505236741076750e+15,2.305950919262708438e+14
5.440506547236989718e+04,3.226311651220619751e+04,2.015611606354697250e+15,2.663894543326375625e+14
4.447544697580901993e+04,3.597496942959816806e+04,1.908644564431612500e+15,5.185798747876956875e+14
3.983260965273449983e+04,3.834813728254949820e+04,1.917410410928502500e+15,7.055985481520426250e+14
4.321341531936632236e+04,3.311041396958736732e+04,2.141868378703080000e+15,5.740603864335680000e+14
4.580880317236430710e+04,3.468136043299322773e+04,2.171069806171153500e+15,5.290253252676204375e+14
4.861784724278053181e+04,3.467702984466973430e+04,2.226733795014636250e+15,4.577985382074723125e+14
5.313410322512051061e+04,3.338302237608486757e+04,2.354957619652409000e+15,3.496927815828845000e+14
5.677871757330663968e+04,3.155048158462097854e+04,2.419793872354918000e+15,2.707161844756646875e+14
6.003998068395524751e+04,2.774718062548447415e+04,2.468480120458317000e+15,2.072168270969606250e+14
5.802117372716393584e+04,2.387727202914190639e+04,2.479094976033437500e+15,1.962162129699581562e+14
6.251336971590086614e+04,2.106960323092999533e+04,2.483907885860869000e+15,1.485962647269711562e+14
8.063832577721556299e+04,3.289132442658540822e+04,2.310284172032864500e+15,3.033827990150814375e+14
1.415753027666476846e+05,4.798593727576673264e+05,1.654183204378532000e+15,2.868569090922984000e+15
1.320544139177965699e+05,1.154481093346865382e+06,1.592352458585564500e+15,7.234671478448965000e+15
1.301015656155784382e+05,1.393242938395155827e+06,1.555238014964864750e+15,8.667447106010604000e+15
1.302829036265284958e+05,1.478585444693817059e+06,1.554585800589393750e+15,9.177669284430748000e+15
1.303035575605967315e+05,1.477390824557872489e+06,1.547667808163876250e+15,9.129080902559162000e+15
1.300197878886066901e+05,1.369873930485505611e+06,1.574270174071154000e+15,8.632152152406014000e+15
1.308260658357296052e+05,1.214452718415351119e+06,1.636955558631252750e+15,7.958558429651626000e+15
8.949486088444452616e+04,5.591419394320505671e+04,1.979410149515625500e+15,4.938377607304790625e+14
2.282374389414897087e+04,3.304726817626436969e+04,1.560236769851210000e+15,9.950316210804830000e+14
5.154446744282401050e+04,2.959902865111787833e+04,2.181105776565201500e+15,3.187945675165347500e+14
1.441225706147699966e+05,4.618944386340466444e+05,1.561604696080304750e+15,2.540157083109562000e+15
1.334975067881356226e+05,1.068057918089612853e+06,1.545743112594822250e+15,6.415499841895888000e+15
1.341442546873469546e+05,1.028812316734379041e+06,1.476638588762153750e+15,5.874533052795687000e+15
9.655057395431624172e+03,8.622384753052676388e+03,9.038765931342476250e+14,3.208442578506911875e+14
7.070021149235908524e+03,4.510001005203570458e+03,8.489971546791283750e+14,2.069738865814241250e+14
5.341480715568723099e+03,2.437597230119118194e+03,8.228668791192052500e+14,1.403825921013773281e+14
4.499485526730140919e+03,1.703740138796708834e+03,7.781049666262050000e+14,1.097796288707054219e+14
5.251398600466713106e+03,1.895884820998358691e+03,8.477051244515707500e+14,1.143047316253833125e+14
8.356500357278191586e+03,4.297196036877421648e+03,1.013247120568339000e+15,2.031086007462625312e+14
9.423020397000547746e+03,6.634234595305391849e+03,1.038997767445989375e+15,2.897170787903835000e+14
1.690684785643871510e+04,1.977822339681026642e+04,1.364067535628419000e+15,6.832788477662585000e+14
7.278466347640237655e+04,3.222346399849954105e+04,2.154413468702276750e+15,2.316573970551871562e+14
1.357444928030530864e+05,7.391391086599046830e+05,1.605285106501730250e+15,4.515915436551305000e+15
1.309571178072389012e+05,9.583139456765117357e+05,1.627131018596645250e+15,6.193323734977266000e+15
1.311764351540601347e+05,9.717050220243219519e+05,1.588780025007788250e+15,6.120643630031299000e+15
1.590761266751711810e+04,2.157931841580720720e+04,1.157084106115887750e+15,6.670382794776658750e+14
9.859158161086974360e+03,1.037904319402579677e+04,9.149749551760100000e+14,3.839271321346475625e+14
8.231849162389225967e+03,7.011814367236064754e+03,8.636085217895113750e+14,2.862115774499413750e+14
7.081568372480351172e+03,4.715083879380987128e+03,8.608807292596908750e+14,2.190649130780312188e+14
6.793067849733055482e+03,4.009386265527938122e+03,8.982808452507771250e+14,2.017380482692151250e+14
6.086519097546736702e+03,2.811285966773264136e+03,9.197477262310023750e+14,1.600456432827336875e+14
8.304023679598154558e+03,4.285540029125731962e+03,1.078706767552439875e+15,2.167642673380385000e+14
7.865550297766514632e+03,4.124458957623610331e+03,1.117421779603252875e+15,2.265874580875789375e+14
7.785073782794532235e+03,4.535501533439862214e+03,1.115081474016197250e+15,2.508799803398452812e+14
1.051384620338229979e+04,8.945722790255231303e+03,1.211987883975530750e+15,4.146041170672528125e+14
1.956242862171367960e+04,2.836006881874318424e+04,1.575592972751456250e+15,9.936522210400123750e+14
1.322945892254234350e+05,8.405878133742156206e+05,1.823429929478919000e+15,6.022752415452879000e+15
1.287857564021513972e+05,7.988935290745013626e+05,1.716229869108797000e+15,5.546911146748956000e+15
8.642029993968397321e+04,4.234824688004772179e+04,2.061973508260128250e+15,3.785722708216871875e+14
8.136490706460546062e+04,3.995849287414136052e+04,2.152256496067531500e+15,3.478088586326990000e+14
1.722389886788944932e+04,2.124013801219647939e+04,1.373801323944023000e+15,7.267343854805667500e+14
1.275059430476405578e+04,1.126187252837611049e+04,1.245793316353824750e+15,4.543490728882284375e+14
1.054830453940533880e+04,7.146679137723634085e+03,1.214372346418893750e+15,3.309738018454191875e+14
6.024604088130392483e+03,2.591083372015141777e+03,9.743140038126143750e+14,1.577514825956110312e+14
6.146380860448105523e+03,2.950463096418491659e+03,9.634929808523538750e+14,1.743978348368030625e+14
9.202761006968934453e+03,6.077509219529536495e+03,1.154117245503047750e+15,3.008922898155306875e+14
1.095222819672089281e+04,8.181913248099758675e+03,1.231615661467768250e+15,3.720534371739657500e+14
1.895158057187837039e+04,2.537805831370228771e+04,1.505358667734854750e+15,8.739212077778167500e+14
8.216461730057664681e+04,4.422093234502031555e+04,2.191410098750643750e+15,3.970492542939308750e+14
6.285518511411636428e+04,3.212317858110790257e+04,2.219197080019753000e+15,2.015524431307243750e+14
