Temperatures,+-
8.844721521078796611e-01,-1.860964060714476620e+00
8.849751107431271802e-01,-1.862448476498135497e+00
8.854758953507894104e-01,-1.863925299866013630e+00
8.859742049012222509e-01,-1.865394784491291036e+00
8.864700663228157751e-01,-1.866856971199506887e+00
8.869637632994512577e-01,-1.868312283038220167e+00
8.874550446280963234e-01,-1.869759715060004712e+00
8.879439908442058327e-01,-1.871200071349645944e+00
8.884306364593029803e-01,-1.872633446885410002e+00
8.889149862631554599e-01,-1.874059295758053967e+00
8.893970523572686249e-01,-1.875478663922470535e+00
8.898767345936856588e-01,-1.876890024137989554e+00
8.903542526799903545e-01,-1.878295048392806477e+00
8.908296679988285671e-01,-1.879692750950853641e+00
8.913027184136650405e-01,-1.881083702737277097e+00
8.917735442444039151e-01,-1.882467294568904270e+00
8.922421570474304842e-01,-1.883844226181343728e+00
8.927085682919472243e-01,-1.885213925584100059e+00
8.931727893610865721e-01,-1.886576677240185518e+00
8.936348315528372943e-01,-1.887933147639898612e+00
8.940945932941619656e-01,-1.889282322604817432e+00
8.945524240766088431e-01,-1.890624755301384630e+00
8.950078854501112291e-01,-1.891960765979082026e+00
8.954613647483605776e-01,-1.893289722688220156e+00
8.959127489468872163e-01,-1.894612181536646789e+00
8.963619445766165539e-01,-1.895928270104537905e+00
8.968089851263107981e-01,-1.897236743637617851e+00
8.972540579456839138e-01,-1.898539555394768152e+00
8.976969849430069814e-01,-1.899835501186495357e+00
8.981378411595686284e-01,-1.901124631884811400e+00
8.985766367511986985e-01,-1.902407584418330799e+00
8.990133818010953570e-01,-1.903683691393515121e+00
8.994480863205873700e-01,-1.904953803957544878e+00
8.998807053766548769e-01,-1.906217142957563615e+00
9.003114134592555828e-01,-1.907474147853057689e+00
9.007400413416406515e-01,-1.908724469773829702e+00
9.011666968509001174e-01,-1.909969002799101201e+00
9.015913464288094481e-01,-1.911207082738880736e+00
9.020139616916735825e-01,-1.912438279226071680e+00
9.024346938685363639e-01,-1.913664226069735630e+00
9.028533744424792618e-01,-1.914883488402568723e+00
9.032702204374142285e-01,-1.916096160647866808e+00
9.036850550234433177e-01,-1.917302941518229886e+00
9.040978090626885511e-01,-1.918503378001476634e+00
9.045088650709731670e-01,-1.919697920589550799e+00
9.049179859799052483e-01,-1.920886030580117643e+00
9.053251358507509172e-01,-1.922068047207742270e+00
9.057303872532622702e-01,-1.923243692242444292e+00
9.061337491498445695e-01,-1.924414482431008988e+00
9.065350616985800025e-01,-1.925578310447473740e+00
9.069348399764619595e-01,-1.926736150724980501e+00
9.073325845372804954e-01,-1.927888838001349248e+00
9.077283060123475522e-01,-1.929034089002227947e+00
9.081225255772619187e-01,-1.930174600056117518e+00
9.085147353437958984e-01,-1.931308925826712430e+00
9.089050768884906484e-01,-1.932437470104100052e+00
9.092936039168573181e-01,-1.933559969845107585e+00
9.096803411196417999e-01,-1.934677015786532284e+00
9.100653750594345226e-01,-1.935787522616570389e+00
9.104484125272983563e-01,-1.936892566273721750e+00
9.108298929856802895e-01,-1.937992093986459663e+00
9.112094805090178440e-01,-1.939085503553616752e+00
9.115872529063495655e-01,-1.940173375366089692e+00
9.119633535732359908e-01,-1.941256077539240010e+00
9.123376065789792211e-01,-1.942332530907155519e+00
9.127102112555799396e-01,-1.943403470438558100e+00
9.130810293613257356e-01,-1.944468455128585127e+00
9.134501412282681754e-01,-1.945528272633905598e+00
9.138173755772623919e-01,-1.946582357385254314e+00
9.141831185522429903e-01,-1.947630830247983669e+00
9.145469338582542518e-01,-1.948674320402135063e+00
9.149093494202490406e-01,-1.949711616905618561e+00
9.152698839439942224e-01,-1.950743382584263275e+00
9.156287564215151997e-01,-1.951769961384185237e+00
9.159859531205981620e-01,-1.952791065848552776e+00
9.163413692735421501e-01,-1.953806569835334406e+00
9.166953494378329292e-01,-1.954817191115079567e+00
9.170474543782143328e-01,-1.955822364054062401e+00
9.173981012303589200e-01,-1.956821481752951009e+00
9.177469928176218428e-01,-1.957815899563765338e+00
9.180943645444712420e-01,-1.958804185695780298e+00
9.184400414131659307e-01,-1.959788219898892070e+00
9.187841022270146762e-01,-1.960766527543419624e+00
9.191265542648698883e-01,-1.961739521780921702e+00
9.194673464961038434e-01,-1.962707264954707931e+00
9.198066609164088359e-01,-1.963670167886090834e+00
9.201441489587957046e-01,-1.964627593189775201e+00
9.204804120061576000e-01,-1.965579689928258267e+00
9.208148293274923679e-01,-1.966526717675848301e+00
9.211478845200673504e-01,-1.967468680523198898e+00
9.214792754225979987e-01,-1.968405218834948789e+00
9.218090790402044821e-01,-1.969337148479457955e+00
9.221373021643579637e-01,-1.970263956137273231e+00
9.224641635073340673e-01,-1.971186172366183875e+00
9.227892905958354763e-01,-1.972102309508407592e+00
9.231129886808859819e-01,-1.973013289193690900e+00
9.234351583996625035e-01,-1.973920261510439422e+00
9.237558741985170130e-01,-1.974821679971982658e+00
9.240749397524080644e-01,-1.975718808442576524e+00
9.243927731011635229e-01,-1.976610186458922058e+00
9.247089500344212176e-01,-1.977496883645170955e+00
9.250235639436219515e-01,-1.978379336879607875e+00
9.253367064486076599e-01,-1.979256179134163851e+00
9.256485018608974213e-01,-1.980128458204009290e+00
9.259586877030925312e-01,-1.980995547606419827e+00
9.262676954034926302e-01,-1.981858286956653004e+00
9.265750618881768430e-01,-1.982716045922786385e+00
9.268809824377161055e-01,-1.983568722478792345e+00
9.271854035959888884e-01,-1.984417158211517540e+00
9.274885178820835296e-01,-1.985260254213270459e+00
9.277900416465904021e-01,-1.986098976273573902e+00
9.280903313668181775e-01,-1.986932948892633499e+00
9.283891165111651800e-01,-1.987762191379233823e+00
9.286864931972034221e-01,-1.988587115895304569e+00
9.289823511332574446e-01,-1.989407256448421313e+00
9.292770456897129217e-01,-1.990222790563186850e+00
9.295702336643955066e-01,-1.991033546067503490e+00
9.298620375177526487e-01,-1.991839586811742668e+00
9.301523247479061007e-01,-1.992641275144400481e+00
9.304414773832521135e-01,-1.993438220583989562e+00
9.307290986178867742e-01,-1.994230504383747160e+00
9.310155313755120732e-01,-1.995018225645269538e+00
9.313005040987902827e-01,-1.995801778457572340e+00
9.315839838823263275e-01,-1.996580773965218381e+00
9.318664097428334125e-01,-1.997355253783813733e+00
9.321472797183492087e-01,-1.998125591142725810e+00
9.324268596284759347e-01,-1.998890810478593405e+00
9.327052534889359592e-01,-1.999651931228905610e+00
9.329821449982524939e-01,-2.000409027901313586e+00
9.332578657840265857e-01,-2.001161215574587260e+00
9.335321063426309518e-01,-2.001909179595481536e+00
9.338051655085598535e-01,-2.002652394342312014e+00
9.340769567793221206e-01,-2.003391958918629978e+00
9.343472509775980761e-01,-2.004126410626696053e+00
9.346164494648369070e-01,-2.004856714040350152e+00
9.348843706058623804e-01,-2.005583490483614728e+00
9.351509358732230659e-01,-2.006305141295657624e+00
9.354162259077701824e-01,-2.007023252034201732e+00
9.356802356778131102e-01,-2.007736107481171928e+00
9.359429795589893075e-01,-2.008445173626982605e+00
9.362042668871316531e-01,-2.009150229906487173e+00
9.364645792541953506e-01,-2.009851141824669618e+00
9.367236426889272716e-01,-2.010547195577621959e+00
9.369812401891968179e-01,-2.011239308139096238e+00
9.372377106425295867e-01,-2.011927721253528922e+00
9.374929077369752450e-01,-2.012611473392995620e+00
9.377470377323920969e-01,-2.013291267179612376e+00
9.379997825343616702e-01,-2.013966667234315278e+00
9.382512318538536178e-01,-2.014637891272125447e+00
9.385016250576226904e-01,-2.015305286194003287e+00
9.387507095274865154e-01,-2.015968748548423228e+00
9.389985996787711953e-01,-2.016627706855423252e+00
9.392450794376048240e-01,-2.017282443049556839e+00
9.394905556480336317e-01,-2.017933637267191216e+00
9.397349411531921159e-01,-2.018580063750848197e+00
9.399779505905764276e-01,-2.019223246899723545e+00
9.402198538651302950e-01,-2.019861980636272758e+00
9.404603901195780491e-01,-2.020496931447515188e+00
9.407000102211295900e-01,-2.021127529303406778e+00
9.409382449212549959e-01,-2.021754188208645608e+00
9.411752957794526919e-01,-2.022377305886089438e+00
9.414114006001316204e-01,-2.022996332191124402e+00
9.416460811238548390e-01,-2.023610763108847355e+00
9.418798135655893633e-01,-2.024221529443901879e+00
9.421122782965684062e-01,-2.024828976662678581e+00
9.423435873407480790e-01,-2.025432135465583094e+00
9.425736389802269466e-01,-2.026031262557389745e+00
