Temperatures,+-
3.247307962396961956e-01,-7.466089755792525429e-01
3.242310496901900096e-01,-7.459526628225372491e-01
3.237418330554892587e-01,-7.453102656957493188e-01
3.232630162191440504e-01,-7.446816981951663861e-01
3.227945378830820999e-01,-7.440670895234836602e-01
3.223363272393577339e-01,-7.434667215065715595e-01
3.218883480609316394e-01,-7.428809655065573558e-01
3.214505571699727282e-01,-7.423097767952498982e-01
3.210228825845870548e-01,-7.417537206266520133e-01
3.206052850484256145e-01,-7.412125526694569588e-01
3.201976959640974729e-01,-7.406866823257881594e-01
3.198000481434852271e-01,-7.401760687312276543e-01
3.194122695164996473e-01,-7.396807879032845090e-01
3.190342830763268078e-01,-7.392008815791419885e-01
3.186660078842780131e-01,-7.387364906709852352e-01
3.183073540443869254e-01,-7.382873071381337304e-01
3.179582328970920191e-01,-7.378536427564659217e-01
3.176185499814917490e-01,-7.374351568283540326e-01
3.172881905510900324e-01,-7.370319868918843165e-01
3.169670672902544784e-01,-7.366438264728490948e-01
3.166550741251684120e-01,-7.362707659675190586e-01
3.163520572728996672e-01,-7.359124713680472718e-01
3.160579469110085249e-01,-7.355688916194107474e-01
3.157726148730531923e-01,-7.352398591256026350e-01
3.154959105581111034e-01,-7.349252982114462540e-01
3.152277239808368159e-01,-7.346248431146102931e-01
3.149679191256485877e-01,-7.343383882964292786e-01
3.147163722092870541e-01,-7.340657251834689090e-01
3.144729246300548287e-01,-7.338066495575852333e-01
3.142374616246259023e-01,-7.335608441264808155e-01
3.140098303762201004e-01,-7.333281728656524390e-01
3.137898898096484479e-01,-7.331083930489715739e-01
3.135775300727300374e-01,-7.329011441606548827e-01
3.133725635687764077e-01,-7.327063073004437266e-01
3.131748510126621254e-01,-7.325235413956135977e-01
3.129842802893654241e-01,-7.323525958739741659e-01
3.128006725106182717e-01,-7.321932336271400610e-01
3.126238925576707572e-01,-7.320452546094605717e-01
3.124537935364332109e-01,-7.319082165473506096e-01
3.122902321523206015e-01,-7.317820998821940037e-01
3.121330601898009149e-01,-7.316664331491166129e-01
3.119821334534222945e-01,-7.315609935113036588e-01
3.118373216848297491e-01,-7.314655961298471842e-01
3.116986013191859750e-01,-7.313802663490983624e-01
3.115659696875572315e-01,-7.313052071561011447e-01
3.114394439302166084e-01,-7.312404609694682645e-01
3.113189713390826507e-01,-7.311860977727642208e-01
3.112045111102501593e-01,-7.311420896437107464e-01
3.110960731008999280e-01,-7.311086082423954302e-01
3.109935801971495106e-01,-7.310854633190841945e-01
3.108969919937348281e-01,-7.310727290510881105e-01
3.108062577925328474e-01,-7.310702697620603541e-01
3.107213088493228637e-01,-7.310781478887031781e-01
3.106420652631385337e-01,-7.310961067172692118e-01
3.105684776836157845e-01,-7.311242549931690204e-01
3.105004592627355620e-01,-7.311622528816770217e-01
3.104379283940182921e-01,-7.312100976858557644e-01
3.103807863332034844e-01,-7.312676911589216511e-01
3.103289835124797835e-01,-7.313348131054504542e-01
3.102823806815648844e-01,-7.314112145992832659e-01
3.102409176148617775e-01,-7.314968391115512780e-01
3.102044745567568707e-01,-7.315915454982716559e-01
3.101729586425980290e-01,-7.316950027672138868e-01
3.101462677356595088e-01,-7.318070764925970195e-01
3.101242980035801011e-01,-7.319276256801335867e-01
3.101069375392143668e-01,-7.320564323837875920e-01
