Temperatures,+-
7.533932046860765119e-01,-7.353064310871311182e-01
7.429243355887827915e-01,-7.686645271821472836e-01
7.329891367388866596e-01,-7.946222164197502824e-01
7.408328946963158579e-01,-8.175094914109943822e-01
7.665728347012439325e-01,-8.365549958078107862e-01
7.943405234102677293e-01,-8.501227869917507007e-01
8.249817376572277094e-01,-8.654429513403171237e-01
8.557233401557148289e-01,-8.826417453748983677e-01
8.754809858618151086e-01,-8.991551016613547054e-01
8.683888632396281615e-01,-9.169802323253110066e-01
8.489016916191172157e-01,-9.349167813215707445e-01
8.365143042650569072e-01,-9.499251866050443249e-01
8.408421615546296524e-01,-9.642140315279017493e-01
8.644659564192422874e-01,-9.808099501611142745e-01
8.859892082826285042e-01,-9.949924392505803405e-01
8.976764259249648825e-01,-1.006100117175731112e+00
9.100816121789795377e-01,-1.019214599355679596e+00
9.119252538669134767e-01,-1.035547635705070801e+00
9.021747585121803192e-01,-1.050571318963517964e+00
8.929276172362785591e-01,-1.061061610369375519e+00
8.876102459932480038e-01,-1.071472795788628751e+00
8.849961528270293698e-01,-1.084658786029932598e+00
8.843318694376099964e-01,-1.096054719467359106e+00
8.895848421257895877e-01,-1.106771546799968142e+00
9.058750448054164739e-01,-1.120120113863333655e+00
9.202533955575962210e-01,-1.133836437611019710e+00
9.095198913955805375e-01,-1.146715232431793297e+00
8.886535046569564722e-01,-1.159354187779012779e+00
8.703192073575778398e-01,-1.167627485290177791e+00
8.543496339831571085e-01,-1.173812534444276912e+00
8.475297355141236944e-01,-1.183783057512331371e+00
8.521151954052254007e-01,-1.193841818917547482e+00
8.651395006497653029e-01,-1.201194988490844384e+00
8.715081027922975121e-01,-1.207562163331541205e+00
8.781399204727530217e-01,-1.217415572981111804e+00
8.858215505107085441e-01,-1.228007933434991150e+00
8.792181335832887079e-01,-1.233844151997707028e+00
8.619473232564834886e-01,-1.238032529091577683e+00
8.478421512906229029e-01,-1.242677747676817601e+00
8.384356806455741662e-01,-1.249647186284623679e+00
8.355379998069356606e-01,-1.257059488593160301e+00
8.414909803819280443e-01,-1.264160206646243623e+00
8.497065254248259425e-01,-1.271633465820663611e+00
8.545738251638530514e-01,-1.280006011913154662e+00
8.636263964347720146e-01,-1.289741097148036753e+00
8.557435116118157215e-01,-1.296141952959942945e+00
8.360176831898996630e-01,-1.301104587430331971e+00
8.245563881829655051e-01,-1.306115563276558644e+00
8.225730074214622212e-01,-1.313303759099945456e+00
8.162167732706083756e-01,-1.320266012470015404e+00
8.175973720084913632e-01,-1.326861049748527810e+00
8.263545457577345932e-01,-1.336369847055528748e+00
8.315311587960859674e-01,-1.343364298511102062e+00
8.294482222046261066e-01,-1.348055317322207403e+00
8.199249657280157644e-01,-1.352775207287301162e+00
8.142475345250700380e-01,-1.359219909246560887e+00
8.038362935301385237e-01,-1.362738392768137574e+00
8.001525999296911218e-01,-1.366265815017052576e+00
7.980379125687179220e-01,-1.371623130439990179e+00
7.967745300434040390e-01,-1.376789243574418009e+00
7.966127332562987773e-01,-1.381796712686458539e+00
8.032761721037595670e-01,-1.390588137483496078e+00
8.032359138414576494e-01,-1.395595955260301668e+00
7.954847236557091028e-01,-1.398933493476344214e+00
7.796903402798951443e-01,-1.400272456192632964e+00
7.720698880565919353e-01,-1.404024107450144054e+00
